(forest ) plant sociology	森林植物社會學
United Nations Commission on Trade Assistance Development ; UNCTAD	聯合國貿易輔導發展委員會
United Nations Conference on Environment and Development ; UNCED	聯合國環境與發展會議
United Nations Convention on the Law of the Sea	海洋法公約
United Nations Convention on the Law of the Sea ; UNCLOS	海洋法公約
United Nations Development Program ; UNDP	聯合國發展計畫
United Nations Economic Commission for Europe ; UNECE	聯合國歐洲經濟委員會
United Nations Environment Programme ; UNEP	聯合國環境總署
United Nations Food and Agriculture Organization ; UNFAO ; FAO	聯合國糧食暨農業組織 ; 聯合國糧農組織
United Nations Framework Convention on Climate Change ; UNFCCC ; 簡稱FCCC	聯合國「氣候變化綱要公約」
United States Department of Agriculture ; USDA	美國農(業)部
United States Patent	美國專利
United States Pharmacopeia ; USP	美國藥典
United States Refrigeration Ton ; USRT	美國冷凍噸
United States Trade Representative ; USTR	美國貿易代表署
Universal Copyright Convention ; UCC	國際著作權公約
University Mobility in Asia and the Pacific ; UMAP	亞太大學移動性
Unmanaged Forestland	天然林
Unmodifiable factor	非修改因子
Unnatural odor	異味
Unsaturated fatty acid	不飽和脂肪酸
Unsecured loan	無擔保放款
Upeneus bensasi (Temminck & Schlegel)	秋姑魚
Upeneus moluccensis (Bleeker)	摩鹿加秋姑魚
Upeneus subvittatus Temminck & Schlegel	淡帶秋姑魚
Upeneus sulphureus Cuvier & Valenciennes	硫磺秋姑魚
Upeneus sundaicus Bleeker	赭帶秋姑魚
Upeneus tragula Richardson	洋鑽秋姑魚
Upeneus vittatus (Forsskal)	金帶秋姑魚
Upweling	上升流
Uranoscopidae	瞻星魚科
Uranoscopus bicinctus Temminck & Schlegel	雙斑瞻星魚
Uranoscopus japonicus Houttuyn	日本瞻星魚
Uranoscopus oligolepis Bleeker	貧鱗瞻星魚
Urea	尿素
Urease	尿素繡
Uroconger lepturus (Richardson)	狹尾糯鰻
Urogymnus africanus (Buloch & Schweider)	非洲刺土魟
Urolophidae	平魟科
Urolophus aurantiacus Muller & Henle	平魟
Uronemosis, Uronema infection	海水性四膜纖毛蟲症
Urotrygon mundus Gill	孟達平魟
Uruguay Round ; UR	烏拉圭回合
Uruguay Round Agreement ; UR Agreement	烏拉圭回合協定
Uruguay Round Agreement on Textiles and Clothing ; ATC	烏拉圭回合紡織品與成衣協定
Uruguay Round Agreements Act ; URAA	烏拉圭回合協定法
Utilization	利用
VIP Lounge	貴賓室
Vaccination	疫苗
Vaccine	疫苗
Vaccine preparation	疫苗準備
Vaccine strain	疫苗株
Vacum concentrating	真空濃縮
Vacum drying	真空乾燥
Vacum package	真空包裝
Vacum thawing	真空解凍
Vacuum Rice Packing Machine	真空食米包裝機
Vagetable fibre rope	植物纖維繩
Vaimosa caninus (Cuvier & Valenciennes)	虎齒 虎
Vaimosa masoni (Day)	梅遜氏 虎
Valamugil cunnesius (Cuvier & Valenciennes)	長鰭鯔
Valamugil seheli (Forsskal)	藍斑鯔
Valamugil speigleri (Bleeker)	史氏鯔
Validation	確認
Valine	纈胺酸
Valuation and Classification Library ; VCL	估價與分類圖書館
Value-Added Network ; VAN	加值網路
Value-Added Services ; VAS	加值網路服務業
Varaiable	變量
Variance analysis	變方分析
Variation	變化
Varied tit	赤腹山雀（雜色山雀）
Varieties characterization	品種鑑別
Variety improving	品種改良
Variola louti (Forsskal)	星鱠
Veal	小牛肉
Vegetable and Flower Section	蔬菜花卉科
Vegetable fat or oil	植物油或脂
Vegetable fibre	植物纖維
Vegetable protein	植物性蛋白質
Vegetation Map	植群圖
Vegetative cover	植被
Vegetative hybridization	無性雜交
Vegetative propagation	無性繁殖
Vegetative reproduction	無性生殖
Vehicle	載體
Vehicle Pass (Valid for 1 Year)	車輛通行證
Vein enaation disease	葉脈突起病
Veliger	面盤幼蟲
Velvet disease	絲絨病
Veneridae	簾蛤科
Venison	鹿肉
Venom apparatus	毒器
Ventral fin-clipping	腹鰭切除
Ventrifossa garmani (Jordan & Gilbert)	加曼氏底鱈
Ventrifossa nigrodorsalis (Gilbert & Hubbs)	黑背鰭底鱈
Vertebrata	脊椎動物
Vertical distribution	垂直分步
Vertical migration	垂直回游
Very High Frequencies	特高頻無線電話
Very High Frequencies ; VHF	特高頻無線電話
Vesicular Exanthema	水泡疹
Vesicular Stomatitis	水疱性口炎
Vessel Monitoring System	漁船監控系統
Vessel Monitoring System ; VMS	漁船監控系統
Vessel age	船齡
Vesta impressicollis Fairmaire	赤腹櫛角螢
Veterinarian	獸醫師
Veterinarian Certificate	獸醫師證書
Veterinarian Practice License	獸醫師執業執照
Veterinary Aide	獸醫佐
Veterinary Drug Dealer	動物用藥品販賣業者
Veterinary Drug License	動物用藥品許可證
Veterinary Drugs Control Act	動物用藥品管理法
Veterinary Meat Inspector	屠宰衛生檢查獸醫師
Veterinary Medical Institution/Clinic Opening permit	獸醫診療機構開業執照
Veterinary administration	中央獸醫主管機關
Veterinary authority	地方獸醫主管機關
Vibration attenuation	減振
Vibrio	弧菌
Vibriosis	弧菌病
Video analysis	影視分析
Vienna Convention for the Protection of the Ozone Layer	維也納公約
Vietnam Economic & Cultural Office ; VECO	駐台北越南經濟文化辦事處
Viral Haemorrhagic Septicaemia	魚類病毒性出血性敗血症
Viral Haemorrhagic Septicemia	魚類病毒性出血性敗血症
Viral diseases	病毒性疾病
Viral nervous necrosis	病毒性神經壞死症
Viral nervous necrosis of grouper	石斑魚病毒性神經壞死症
Virtual Private Network ; VPN	虛擬私有網路
Virus	病毒
Virus disease	病毒感染症
Virus septicaemia	病毒性敗血症
Visa Waiver Pilot Program ; VWPP	免簽證試行計劃
Viscera	內臟
Visceral oil	內臟油
Visceral organ	內臟
Viscosity	黏度
Visibility	能見度
Vision	視覺
Visitor center	遊客中心
Vitamin	維生素
Vitamin A	維生素 A
Vitamin A alcohol	維生素 A 醇
Vitamin A palmitate	維生素 A 棕櫚酸酯
Vitamin B	維生素 B
Vitamin B12	維生素 B12
Vitamin C	維生素 C
Vitamin D	維生素 D
Vitamin E	維生素 E
Vitamin K	維生素 K
Vivid niltava	黃腹琉璃（黃腹青鶲、棕腹藍仙鶲）
Viviparity	胎生
Viviparus	田螺
Vocational Education and Training ; VET	職業教育與訓練
Voice over Internet Protocol ; VoIP	網路電話
Volatile base nitrogen	揮發性鹽基氮
Volatile fatty acid	揮發性脂肪酸
Volatilization	揮發
Voluntary Export Restraints ; VER	自願性出口限制
WILDLIFE CONSERVATION LAW	野生動物保護法
WTO Agreement on Agriculture ; WTOAA	WTO農業協定
WTO Agreement on Textiles and Clothing ; WTOATC	WTO紡織與成衣協定
WTO Import Licensing Committee ; WTOILC	WTO輸入野i委員會
Wacheng	瓦硐
Wafer	鬆餅
Waian	外垵
Waimushan	外木山
Waipu	外埔
Waldwert forest assets	森林資產；森林價
Wandervogel project	漂鳥計畫
Wanggong	王功
Wanghaisiang	望海巷
Wangliau	網寮
Wanli	萬里
Wanlitong	萬里桐
Wanrong Station	萬榮工作站
Warehouse	倉庫
Warm current	暖流
Warmwater fish	溫水魚類
Warp	曳網
Warp length	曳網長度
Washing	漂洗
Washing water	漂洗水
Waste discharge	廢物排放
Waste disposal	廢物處理
Waste heat utilization	廢熱利用
Waste pollution	廢物污染
Waste water	廢水
Waste water disposal	廢水處理
Waste water utilzation	廢水利用
Wasting	耗損
Watanabei lanternfly	渡邊氏長吻白臘蟲(渡邊氏東方蠟蟬)
Water	水 ; 水分
Water Conservation Forest	水源涵養保安林
Water absorption rate	吸水率
Water activity	水分活動
Water and Soil Conservation	水土資源保育
Water bloom	水華
Water body	水體
Water body pollution	水體污染
Water chemistry	水化學
Water color	水色
Water content	水分
Water cultivation	水質培養
Water dispersible granule (WG)	水分散性粒刮
Water dispersible powder (WP)	可溼性粉劑
Water environment	水生環境
Water holding capacity	保水性
Water improvement	水質改良
Water insoluble solid	水不溶物
Water level	水位
Water mass	水團
Water mold disease	水黴病
Water pollution	水污染
Water properties	水的特性
Water purification	水質淨化
Water purification equipment	水質淨化設備
Water quality	水質
Water quality analysis	水質分析
Water quality analyzer	水質分析儀
Water quality control	水質管理
Water quality criteria	水質基準
Water quality indicator	水質指標
Water quality model	水質糢式
Water quality monitoring	水質監測
Water quality standard	水質標準
Water resource	水資源
Water sample	水樣
Water shrinkage	縮水率
Water soluble nitrogen	水溶性氮
Water storage	蓄水
Water temperature	水溫
Water treatment	水處理
Water wheel aerator	水車式增氧機
Water-holding capacity	保水性
Water-jet aerator	噴水式增氧機
Waterfowl Parvovirs Infection	水禽小病毒感染症
Waterfowl parvovirus infection	水禽小病毒感染症
Waterfowls	水禽
Watershed Management Division	集水區治理組
Wave	波浪
Waxes	臘
Wazihwei Nature Reserve	挖子尾自然保留區
Wear	磨損
Wear resistance	耐磨性
Weather	天氣
Weather and sea condition	天氣與海況
Weather forecast	天氣預報
Web Accessibility Initiative ; WAI	資訊網可及性推動組織
Weight	重量
Weight composition	重量組成
Weight loss	重量損失
Wenshan Branch, Tea Research and Extension Station	茶業改良場文山分場
West Nile virus	西尼羅病毒
West Pacific	西太平洋
West Samoa	西薩摩亞
Western blot	西方點漬
Wet process	濕法漁粉加工
Wetmorella philippina Fowler & Bean	菲島大鱗鸚鯛
Wettable powder	可溼性扮劑
Wetting agent	溼潤劑
Whale fishing	捕鯨
Whale meal	鯨肉粉
Whales	鯨魚
Whaling	捕鯨
Wheat	小麥
Wheat bran	麩皮
Wheat flour	麵粉
Wheat germ meal	小麥胚芽粕
Wheat gluten	小麥筋蛋白
Wheat middling	粉頭
Wheat starch pulp	小麥澱粉粕
Wheelchair Ramp	身心障礙專用坡道
Whirling Disease	魚類迴旋病
White Spoonbill	琵鷺（白琵鷺、匙嘴鷺、廣嘴鸛、勺嘴）
White clover ; Dutch clover	白三葉草
White corn	白玉米
White croaker	白口
White head-mouth disease	白頭白嘴病
White mouth croaker(Sliver pennah croaker)	白口
White pomfret	白鯧
White pomfret(Silver pomfret)	白鯧
White sorghum	白高梁
White spot disease	白點病
White spot syndrome virus disease of penaeus vannamei	白蝦白斑病毒症
White-backed woodpecker	大赤啄木（白背啄木）
White-tailed blue robin	白尾鴝
White-throated Hill Partridge	深山竹雞（台灣山鷓鴣、紅腳竹雞、紅腳仔、報時鳥、棕眉竹雞）
White-throated laughing thrush	白喉笑鶇（白喉噪眉）
Whiteeared sibia	白耳畫眉
Whitefih flying fish	飛魚
Whiteleg shrimp	白蝦
Whole duck carcass with head, neck ＆ feet	全鴨
Whole duck carcass without neck, wings ＆ feet	太空鴨
Whole duck carcass without wings ＆ feet	光鴨
Whole goose carcass with head, neck ＆ feet	全鵝
Whole goose carcass without feet	光鵝
Whole goose carcass without neck, feet ＆ mid-joint wings	太空鵝
Whole milk	全乳
Wholescale	批發
Wild fish	雜魚
Wild fish eliminating	清除雜魚
Wild stocks eliminating	清除雜魚
Wildlife Conservation Act	野生動物保育法
Wildlife Refuge	野生動物保護區
Wildlife management	野生物管理學
Winch	絞機
Wind	風
Wind energy	風能
Wind-breaks forest	防風保安林
Wind-drived current	風海流
Winter	冬季
Winter fishing season	冬漁期；冬汛
Winterization	冷濾
Wire rope	鋼絲繩
Wireless Buying Device	無線電競價器
Wireless sensor network	無線感知網路
Withered disease	雕萎病
Withholding period	停藥期
Women Leaders’ Network ; WLN	婦女領袖網路會議
Wood packaging materials ; WPM	木質(製)包裝材料
Wood packaging materials（WPM）	木質（製）包裝材料
Woolypod vetch	苕子 ; 苕草
Work-study Student	工讀生
Working Group ; WG	工作小組
Working Group on Industrial Science and Technology ; IST	工業科技工作小組
Working Group on Marine Resources Conservation ; MRC WG	海洋資源保育工作小組
Working Group on Trade Promotion ; TP / WGTP	貿易推廣工作小組
Working Group on Transportation ; TPT	運輸工作小組
Working capital	週轉金貸款
Working circle	事業區
World Conservation Monitoring Centre ; WCMC	世界保育監測中心
World Customs Organization ; WCO	世界關稅組織
World Food Program ; WFP	世界糧食計畫署
World Food Program(WFP)	世界糧食計畫署
World Geodetic System-84，WGS-84	1984 年「世界大地測量座標系統」
World Health Organization (WHO)	世界衛生組織
World Health Organization ; WHO	世界衛生組織
World Intellectual Property Organization ; WIPO	世界智慧財產權組織
World Ocean	世界各大洋
World Organization for Animal Health (OIE)	世界動物衛生組織
World Organization for Animal Health ; OIE	世界動物衛生組織
World Trade Organization	世界貿易組織
World Trade Organization (WTO)	世界貿易組織
World Trade Organization ; WTO	世界貿易組織
World Trade Organization Agreement ; WTO Agreement	世界貿易組織協定
World Travel Tourism Council ; WTTC	世界觀光旅遊理事會
World Wide Fund for Nature (原World Wildlife Fund ; WWF)	世界自然基金會
World Wide Web Consortium ; W3C	全球資訊網協會
World fisheries	世界漁業
World fishery production	世界漁業生產
Worldwide Interoperability for Microwave Access ; WiMax	全球互通的微波存取
Worm cataract	寄生性內障
Worm contract	蠕蟲感染
Wounds	創傷
Wu-she blood-spotted longhorned beetle	霧社血斑天牛(霧社深山天牛)
Wuci	梧棲
Wude	五德
Wujia	五甲
Wukan	烏崁
Wuncyuan	溫泉
Wunfong	塭豐
Wungang	塭港
Wunliao	塭寮
Wunzihtou	塭仔頭
Wushanding Mud Volcano Nature Reserve	烏山頂泥火山自然保留區
Wushih	烏石
Wushihbi	烏石鼻
Wushihbi Coastal Nature Reserve	烏石鼻海岸自然保留區
Wushihpi coastal nature reserve	烏石鼻海岸自然保留區
Wutiaogang	五條港
Wuweigang Waterbird Refuge	無尾港水鳥保護區
Wuyu	烏嶼
X-ray	X 光
X-test	X 試驗
Xanthoerythrophoroma	黃紅色素瘤
Xanthomonas axonopodis pv. vasculorum (Cobb) Vauterin et al.與Xanthomonas vasicola pv. vasculorum (Cobb)Vauterin et al.原名 Xanthomonas campestris pv. vasculorum (cobb) Dye	甘蔗流膠病
Xanthophoroma	黃素瘤
Xanthophyll	葉黃素
Xenobiotic substance	外來物質
Xenocongridae	異糯鰻科
Xenocypris medius (Oshima)	中臺鯪
Xenocypris schisturus (Oshima)	叉尾鯪
Xenolepidichthys dalgleishi Gilchrist	菱的鯛
Xerophytes	旱生植物
Xesurus scalprum (Cuvier & Valenciennes)	三棘天狗鯛
Xiphiidae	劍旗魚科
Xiphius gladius Linnaeus	丁挽舊旗魚
Xiphocheilus qudrimaculatus Gunther	四斑寒鯛
Xylella fastidiosa	枯萎病
Xylem	木質部
Xyrichthys punctulatus Cuvier & Valenciennes	細斑離鰭鯛
Yami’s scaly-toed gecko(lanyu scaly-toed gecko)	雅美鱗趾蝎虎(雅美鱗趾虎)
Yangmingshan National Park	陽明山國家公園
Yanliao	鹽寮
Yeast	酵母
YelIow-throated minivet	紅山椒鳥（灰喉山椒鳥、戲班鳥）
Yeliou	野柳
Yellow corn	黃玉米
Yellow grub	黃苞病
Yellow sea bream	黃錫鯛
Yellow seabream(Yellow porgy)	赤鯮
Yellow sorghum	黃高梁
Yellow spot disease	黃點病
Yellow turtle (Asian yellow pond turtle)	柴棺龜(黃喉擬水龜、黃龜、水龜)
Yellow-back sea bream	黃錫鯛
Yellow-fin sea bream	黃鰭鯛
Yellow-lined box turtle (Yellow-margined box turtle)	食蛇龜(箱龜、黃緣閉殼龜)
Yellowfin Tuna; Thunnus Albacares	黃旗鮪
Yellowfin porgy	黃鰭鯛
Yellowfin tuna	黃鰭鮪
Yilan Branch, Livestock Research Institute	畜產試驗所宜蘭分所
Yilan County Lanyang Estuary Major Wildlife Habitat	宜蘭縣蘭陽溪口野生動物重要棲息環境
Yilan County Shuanglianpi Major Wildlife Habitat	宜蘭縣雙連埤野生動物重要棲息環境
Yilan County Shuanglianpi Wildlife Refuge	宜蘭縣雙連埤野生動物保護區
Yilan County Wuweigang Major Wildlife Habitat	宜蘭縣無尾港野生動物重要棲息環境
Yong-an	永安
Yongsin	永新
You Are Here	您現在位置
Young sharks	鯊條
Young tuna	幼鮪
Ypsigramma lineata Schultz	條紋高鱸
Ypsiscarus ovifrons (Temminck & Schlegel)	突額鸚哥魚
Yuanbei	員貝
Yuangang	苑港
Yuanli	苑裡
Yuanyang Lake Nature Reserve	鴛鴦湖自然保留區
Yuchih Branch, Tea Research and Extension Station	茶業改良場魚池分場
Yufu	漁福
Yujing Station	玉井工作站
Yuli Major Wildlife Habitat	玉里野生動物重要棲息環境
Yuli Wildlife Refuge	玉里野生動物保護區
Yushan National Park	玉山國家公園
Zalises draconis Linnaeus	海蛾
Zanclidae	角蝶魚科
Zanclus cornutus (Linnaeus)	角蝶魚
Zebrasoma flavescens (Bennett)	黃高鰭粗皮鯛
Zebrasoma scopas (Cuvier)	藍線高鰭粗皮鯛
Zebrasoma veliferum (Bloch)	高鰭粗皮鯛
Zebrias crossolepis Cheng & Chang	纓鱗鰨沙
Zebrias japonicus (Bleeker)	日本鰨沙
Zebrias quagga (Kaup)	瓜格斑鰨沙
Zebrias zebra (Bloch & Schneider)	斑鰨沙
Zeidae	的鯛科
Zenopsis nebulosa (Temminck & Schlegel)	雨印鯛
Zeomorphi	的鯛形組
Zero tolerance	零容許量
Zeus faber Linnaeus	日本的鯛
Zinc carbonate	碳酸鋅
Zinc concentration	鋅濃度
Zinc content	鋅含量
Zinc distribution	鋅分佈
Zinc intoxication	鋅中毒
Zinc oxide	氧化鋅
Zinc sulfate	硫酸鋅
Ziphiidae	喙鯨科
Ziphius cavirostris Cuvier	柯維氏喙鯨
Zoeal stage	眼幼期
Zonogobius semidoliatus (Cuvier & Valenciennes)	條鯊
Zooplankton	動物性浮游生物
abnormal kernels	畸型粒
abnormal kernelsa	畸型粒
abortion	流產
accesskey	快速鍵
accessory product；by-product；minor product；minor produce	副產物
acid-fast stain	抗酸性染色
